is_female,study_hours_per_day,attendance_percentage,assignment_score,midterm_score,final_exam_score,participation_score,sleep_hours,target
0,9.22,51.48,66.57,45.9,78.73,44.79,5.15,6.197
1,6.49,56.4,91.89,85.1,61.91,81.11,8.41,750.725
1,5.92,78.42,94.46,78.89,32.06,25.89,6.85,6.26
0,3.25,68.1,58.65,68.48,48.63,20.53,7.52,547.335
1,04.09,91.48,49.84,72.11,81.02,12.85,8.63,6.678
1,8.67,60.54,36.88,32.05,65.87,47.44,05.03,49.241
1,06.03,56.0,63.54,89.21,60.49,35.38,5.75,65.32
0,5.63,99.09,96.24,82.74,51.96,36.29,6.17,71.657
0,1.9,94.67,69.26,69.29,72.49,98.37,5.16,75.85
0,1.14,41.74,76.73,93.89,97.65,27.47,8.2,7.991
0,9.67,86.24,37.9,37.65,93.08,51.26,4.42,63.320
0,4.39,46.62,40.05,76.5,32.13,98.77,5.2,529.195
0,6.43,41.65,62.51,97.22,63.67,12.76,4.96,645.325
0,1.72,56.42,96.59,48.25,53.06,72.7,8.77,628.635
0,7.15,56.16,55.25,26.15,65.74,43.4,7.14,50.552
0,9.39,89.16,91.42,80.12,72.43,91.55,7.58,817.355
1,6.18,82.64,38.42,25.52,44.0,92.07,4.54,46.935
0,2.14,98.9,73.19,90.44,84.71,44.85,4.97,8.127
1,6.24,82.69,72.04,29.22,63.25,29.93,08.05,551.125
1,7.9,65.1,90.19,73.96,99.44,48.52,6.84,82.694
1,4.66,81.94,30.23,53.29,31.76,96.88,4.23,483.665
0,8.92,99.97,43.3,40.25,43.28,35.33,6.83,474.005
0,6.84,82.61,45.38,92.37,78.27,98.32,6.38,77.656
0,09.09,85.7,96.5,80.97,78.66,83.75,4.77,8.401
0,6.61,96.3,40.76,50.53,70.75,34.07,6.96,58.583
1,2.18,46.82,32.59,46.31,98.04,81.2,4.87,652.115
0,3.79,82.29,67.41,80.2,59.07,14.48,08.06,6.388
0,2.82,91.05,67.0,87.74,59.19,59.33,07.09,710.895
0,9.18,97.26,89.08,78.69,93.73,42.16,8.36,84.236
0,7.84,52.66,96.42,73.0,67.69,48.42,6.12,7.133
0,07.09,70.24,67.7,42.09,54.76,52.56,6.56,555.085
1,3.71,80.83,95.1,88.96,80.33,55.24,7.8,8.298
0,2.66,54.85,80.76,81.22,73.38,69.08,6.73,74.533
1,7.81,76.03,48.52,63.8,51.45,72.71,6.86,58.535
0,5.27,55.45,94.99,63.37,50.86,97.81,6.77,6.796
1,03.03,60.01,76.72,67.69,57.69,78.65,6.46,66.324
0,6.55,66.49,58.99,87.12,35.01,71.9,08.03,59.670
0,1.36,71.75,77.62,80.67,95.98,45.32,6.43,809.915
1,3.94,66.96,58.09,89.22,42.81,20.6,8.5,576.625
1,5.22,69.59,37.99,63.05,43.57,15.29,08.04,47.098
1,2.33,57.92,80.33,71.85,75.29,52.99,7.46,71.471
0,9.86,49.54,87.69,89.09,80.7,70.14,8.49,8.2
1,2.88,42.84,81.02,42.42,81.58,68.51,6.69,66.497
0,2.17,51.76,46.04,58.3,56.26,95.76,8.11,58.226
0,2.83,74.92,96.96,71.55,91.13,44.42,5.21,81.109
1,7.92,87.17,31.77,93.64,68.08,66.5,4.36,68.959
1,4.83,50.15,53.29,26.19,60.7,89.91,7.43,52.456
0,06.09,46.51,48.21,40.94,86.73,46.37,5.51,595.205
0,1.19,84.96,33.37,42.58,47.05,53.0,7.17,475.825
1,1.31,58.31,58.4,49.5,90.21,93.07,4.39,707.665
1,05.01,97.09,73.62,46.13,67.72,59.52,8.78,656.195
1,8.35,82.86,91.78,69.26,93.0,81.96,6.58,84.703
0,8.97,59.61,99.28,91.42,44.11,94.21,04.05,735.315
0,1.78,57.37,86.57,72.77,95.52,61.4,6.38,808.155
0,5.85,71.42,62.81,43.11,78.15,19.83,7.95,59.817
0,9.22,44.75,80.66,89.78,73.28,83.95,8.33,7.709
0,4.49,47.06,89.05,72.4,59.54,83.6,6.31,69.815
0,8.47,50.55,62.57,41.42,96.94,20.35,4.63,63.888
1,2.2,86.48,84.95,52.12,61.07,59.33,8.53,659.755
0,9.42,70.83,63.79,84.25,64.9,53.84,8.91,690.025
0,7.76,40.63,57.05,80.42,84.7,86.24,4.32,73.847
0,9.47,80.41,66.83,68.24,49.94,34.72,4.39,59.418
1,07.09,65.42,77.31,35.86,50.4,48.36,6.83,5.344
0,4.27,70.65,80.88,85.25,84.27,64.43,6.67,80.491
0,9.44,52.85,54.97,48.07,39.0,56.55,6.94,476.015
1,3.48,73.11,69.99,82.87,87.61,95.95,5.59,82.285
0,3.99,98.75,93.69,73.57,73.76,96.46,4.25,824.675
0,7.31,44.41,98.34,44.81,67.74,17.34,6.9,607.545
0,7.89,57.04,45.91,40.93,46.04,36.81,4.76,4.491
0,9.36,54.58,43.5,34.82,85.05,10.68,5.71,53.698
0,2.84,54.91,77.37,43.15,86.35,47.61,6.91,6.673
1,8.18,62.72,59.03,36.84,63.81,69.59,05.04,5.658
1,7.65,89.09,31.7,71.28,57.24,52.42,6.71,58.345
1,1.57,94.77,54.28,69.91,47.23,16.05,7.57,55.946
0,4.49,52.13,86.47,68.96,82.8,27.64,4.33,7.149
0,3.54,72.58,85.82,73.14,74.76,25.6,7.1,7.143
0,3.74,78.21,64.63,86.11,44.46,56.0,6.55,634.355
1,9.85,71.31,63.08,93.52,85.61,70.99,4.49,801.895
0,6.78,66.04,70.57,42.28,91.75,38.47,7.53,672.475
0,7.46,51.52,45.36,69.08,34.15,21.74,5.55,456.205
1,9.79,69.29,66.82,30.88,84.07,81.87,4.91,656.245
0,4.39,64.07,30.77,34.01,89.7,87.25,5.41,61.183
1,8.22,87.73,63.29,74.08,99.41,34.88,6.73,7.823
1,4.91,85.82,53.52,61.49,46.63,47.87,6.9,55.766
1,8.83,48.04,77.24,81.87,55.97,17.37,4.85,62.046
0,2.63,45.31,74.68,56.93,97.63,30.49,8.68,7.91
0,9.53,94.49,56.66,34.57,36.58,79.03,5.64,5.12
0,2.97,72.13,30.51,90.4,66.66,42.87,5.34,63.533
0,3.94,91.47,47.66,31.22,65.47,64.42,4.93,5.584
0,7.81,43.49,74.33,39.17,72.46,95.16,4.6,6.388
0,4.54,71.59,35.07,45.77,53.16,75.13,8.91,517.345
0,6.47,72.37,37.53,99.65,94.81,50.81,7.37,77.92
1,5.0,91.64,75.29,56.26,48.9,43.02,7.94,59.704
0,7.68,45.86,82.9,62.63,75.48,27.15,06.01,659.565
1,03.05,54.43,52.51,82.73,64.71,78.05,06.07,67.081
0,1.53,64.39,64.28,72.73,48.67,20.12,8.93,56.524
0,3.7,91.95,96.2,88.11,43.22,15.53,5.0,6.714
0,5.27,96.33,96.19,61.48,96.96,19.43,5.63,8.11
1,2.51,99.56,51.53,97.91,69.29,31.86,4.98,72.177
1,4.19,97.55,86.7,84.76,72.29,66.44,5.41,802.305
1,4.6,40.36,71.58,55.1,84.8,87.52,7.32,70.559
1,1.52,42.86,98.28,53.6,35.69,99.34,5.54,597.675
0,6.25,48.86,63.43,94.71,79.96,75.83,8.38,768.185
1,8.96,60.93,84.23,76.33,41.56,23.14,4.24,588.815
0,2.37,89.8,83.77,71.61,81.83,34.99,5.77,75.776
0,6.38,93.56,64.82,81.84,39.89,21.88,8.3,58.929
1,6.98,51.21,85.69,67.06,88.27,20.4,7.11,719.585
1,4.77,77.18,48.27,36.94,77.67,61.1,7.85,59.901
1,7.31,95.04,38.56,48.94,57.01,91.61,5.62,585.655
1,4.7,67.82,59.76,66.85,55.12,71.59,5.85,61.897
1,5.54,46.21,96.05,26.36,40.43,82.06,8.44,527.775
1,01.07,67.47,65.05,57.8,93.28,55.73,7.75,72.428
1,7.23,62.55,74.47,81.69,38.3,52.78,5.92,6.25
1,6.95,74.66,73.69,37.32,63.05,94.37,05.08,6.303
0,1.35,66.32,39.28,29.84,46.56,74.98,4.53,45.742
1,4.31,41.04,57.32,87.7,99.74,51.34,8.31,77.536
1,9.81,99.64,79.49,71.3,71.01,39.93,7.49,725.335
0,4.79,72.61,98.04,38.24,40.47,18.38,07.04,5.243
1,5.52,68.42,41.76,85.47,76.73,83.89,7.88,71.806
0,9.19,97.28,58.73,74.36,99.41,25.24,8.57,7.738
0,7.46,49.35,36.66,50.06,72.35,56.35,7.81,557.395
1,6.24,51.35,46.97,53.21,62.02,67.36,6.1,56.274
0,8.18,88.48,56.37,36.69,50.53,76.97,4.88,54.677
0,8.78,55.65,67.85,87.64,36.45,17.5,7.57,555.525
0,5.11,87.95,46.14,63.18,45.98,10.96,5.23,51.7
0,5.28,56.29,45.93,66.78,68.75,73.54,7.91,629.265
1,4.47,41.99,84.45,91.26,82.76,50.9,5.69,77.96
0,9.7,71.02,97.38,26.19,91.46,26.3,4.78,677.665
1,7.27,51.8,52.65,30.02,85.56,98.38,5.27,62.998
0,1.75,85.47,78.16,37.12,38.78,81.22,5.33,55.153
0,8.77,78.47,48.07,27.25,84.14,62.07,5.89,59.929
0,5.33,95.42,94.96,74.36,70.71,73.19,5.29,791.915
0,1.62,86.98,77.1,72.54,62.84,23.95,5.13,66.642
1,5.95,50.85,86.19,40.81,70.09,96.6,5.96,6.671
1,4.75,88.01,33.45,36.21,30.57,99.67,8.34,45.21
0,8.9,78.5,71.9,35.93,34.74,68.36,4.35,502.075
0,2.84,80.14,66.93,96.49,66.81,70.15,5.48,7.592
1,8.44,89.94,50.51,77.01,42.15,73.4,6.81,60.441
0,06.02,74.43,48.37,68.91,68.19,69.92,8.37,65.203
0,1.49,67.96,70.6,49.19,54.79,49.47,5.42,57.336
0,9.75,78.2,79.45,57.48,93.52,58.66,5.74,76.678
1,5.61,57.88,32.32,31.71,96.48,35.45,7.99,5.749
1,3.62,50.96,69.72,99.86,98.58,50.22,5.86,8.353
1,5.22,77.0,41.93,81.63,92.93,49.25,8.26,73.944
0,8.72,54.03,39.83,71.61,99.01,35.93,6.28,6.951
0,3.74,44.79,73.62,69.08,79.43,80.8,6.85,723.535
1,2.73,40.03,51.76,62.82,97.24,46.87,6.8,68.781
1,2.16,76.5,60.86,44.31,74.93,59.65,4.6,63.89
1,3.68,61.73,55.2,41.98,86.64,24.05,5.77,60.437
1,08.02,85.14,75.38,66.21,39.23,52.75,5.21,59.147
0,5.24,62.51,62.91,30.27,77.78,78.53,7.42,614.765
1,03.05,69.16,97.44,30.59,95.18,50.01,8.67,723.655
0,2.5,64.43,54.67,67.06,67.8,60.2,05.06,6.389
1,3.99,79.03,81.82,93.99,43.08,73.15,4.46,701.575
0,9.46,61.37,48.01,93.57,66.88,45.01,6.53,6.704
1,04.09,97.83,65.61,25.81,79.49,41.8,5.95,61.359
1,9.89,96.17,68.68,33.05,83.89,17.72,4.18,62.748
1,5.37,90.88,53.04,68.73,66.66,62.4,8.61,664.495
1,2.61,95.22,63.02,88.64,45.22,73.63,8.7,67.476
0,09.02,66.95,49.55,96.58,94.87,62.31,8.25,8.18
1,5.14,72.19,30.42,89.54,84.15,35.52,5.4,686.925
0,7.39,84.53,45.1,75.82,48.95,33.61,4.61,569.215
0,9.85,81.77,79.0,40.04,86.83,24.35,6.96,668.125
0,1.45,93.44,83.97,30.45,54.35,14.23,5.41,54.196
0,1.87,82.98,49.61,28.56,51.87,48.42,05.01,483.565
1,7.48,99.87,58.56,70.91,90.42,24.45,7.21,735.185
0,3.54,60.91,32.62,27.71,91.13,72.17,7.75,58.654
0,2.66,89.98,46.59,80.44,57.89,96.56,6.64,6.834
0,1.35,81.86,84.55,78.44,30.62,16.61,5.6,57.83
1,1.2,81.48,72.42,30.97,43.06,90.37,6.56,544.825
1,7.97,59.55,44.4,93.0,93.65,69.19,7.0,777.815
1,2.21,87.14,48.02,64.14,92.91,87.43,4.26,7.561
1,5.21,94.02,87.18,92.83,61.73,23.95,6.22,74.046
0,6.45,53.11,44.64,92.62,51.29,91.58,6.99,645.035
0,4.86,77.53,53.39,39.78,51.19,96.21,4.65,55.913
1,1.24,63.53,76.51,53.54,92.8,91.6,6.24,7.667
0,08.05,99.37,69.28,35.1,52.73,80.69,5.73,590.925
0,01.09,68.73,62.26,83.12,65.81,18.13,8.34,6.495
0,7.86,53.7,92.98,62.81,81.17,29.87,6.45,71.065
1,09.04,62.91,45.38,94.66,44.66,92.18,6.13,63.881
1,4.9,79.23,81.9,40.62,47.77,30.65,5.22,5.424
0,5.82,44.57,41.13,76.63,55.06,41.29,8.79,552.405
1,5.29,76.22,73.1,99.19,75.8,14.54,8.81,7.502
1,4.5,95.87,90.94,74.9,87.22,66.53,5.83,83.68
1,8.99,91.02,62.05,30.16,68.27,60.7,8.65,5.901
1,09.05,44.06,80.7,69.13,39.31,96.56,07.09,61.242
1,04.02,99.6,87.43,38.49,61.24,90.31,7.91,675.335
0,6.54,81.92,39.52,27.29,38.94,55.53,4.45,42.100
1,9.34,49.74,79.41,50.12,36.18,64.84,4.11,52.533
0,9.66,40.74,94.39,44.96,71.27,47.19,6.57,638.555
0,5.58,50.28,70.35,84.16,96.93,21.92,4.38,762.555
1,05.08,90.29,43.03,53.03,88.63,88.1,8.46,70.723
0,3.51,41.3,38.89,79.97,84.21,59.46,8.1,67.32
0,9.63,53.99,48.18,26.22,80.89,48.29,7.57,547.305
0,2.29,85.44,37.25,26.11,92.8,16.16,4.16,5.661
1,6.22,75.17,65.94,27.2,82.7,69.88,6.29,63.438
1,3.54,86.96,34.88,41.45,73.88,45.97,4.39,564.895
0,3.51,84.77,45.64,53.05,55.53,32.83,8.64,53.586
1,4.64,43.04,60.79,70.59,37.07,88.91,07.06,55.975
1,9.99,93.55,63.17,98.94,62.27,26.53,4.78,711.715
1,1.49,53.62,69.58,51.58,94.73,56.35,6.8,709.635
1,6.21,73.2,79.39,29.17,70.82,81.62,4.59,63.439
0,1.74,78.66,33.31,39.62,42.92,86.42,4.73,48.097
0,2.39,50.12,35.64,92.34,75.43,83.68,4.4,699.935
1,4.96,98.57,34.26,77.45,62.58,90.7,8.36,670.445
1,5.59,69.29,59.62,84.27,95.2,22.81,6.73,755.215
0,3.33,43.46,32.93,34.31,41.27,94.64,5.64,43.418
0,3.85,96.24,82.23,35.12,79.84,10.97,4.0,63.891
1,1.78,75.18,45.61,33.42,77.71,33.03,6.36,554.965
0,3.73,81.95,95.74,89.29,98.85,17.56,6.56,86.019
1,9.7,71.51,64.05,40.75,69.54,95.1,5.68,639.975
1,9.5,90.08,61.24,73.24,91.01,48.15,6.42,762.345
0,04.01,41.99,84.64,63.71,31.73,38.37,4.5,51.997
0,6.14,56.1,79.92,65.83,38.6,25.04,8.61,540.655
1,9.19,68.18,72.51,39.66,54.22,24.02,5.29,52.614
1,01.06,44.6,95.46,72.64,73.35,65.25,8.74,739.095
0,8.3,82.35,59.56,28.23,61.44,14.24,6.46,501.325
1,9.54,63.62,86.6,99.51,44.19,63.49,8.28,70.375
0,1.82,56.36,56.61,27.01,71.24,79.72,6.89,566.165
1,2.45,40.2,88.68,28.76,69.67,64.09,8.22,5.973
0,9.65,83.19,48.16,49.35,66.71,84.39,04.05,62.076
0,5.84,90.03,50.25,87.37,36.34,33.87,4.93,5.700
0,1.13,63.7,77.45,44.29,94.89,16.95,5.77,67.839
1,3.32,73.85,44.89,60.4,71.46,74.89,5.48,63.963
1,05.05,53.66,46.04,26.35,48.48,84.53,8.73,46.582
0,7.24,77.33,51.37,30.92,78.12,55.15,5.97,5.859
1,7.6,40.73,77.53,70.6,52.25,83.86,8.86,639.025
0,9.96,69.32,92.26,39.58,65.41,51.21,7.26,632.935
0,3.59,78.65,77.22,77.07,53.88,27.87,8.18,642.215
1,5.84,95.09,87.95,83.9,91.63,52.7,5.97,8.541
1,5.8,62.88,68.05,88.78,99.58,29.44,4.95,7.988
0,4.65,85.91,34.82,35.03,41.28,52.48,4.25,440.085
1,2.52,75.86,37.03,59.16,31.65,23.28,7.28,431.875
1,9.8,95.62,68.81,96.03,45.35,26.7,8.86,65.874
0,8.68,63.9,52.95,82.91,71.3,89.46,4.59,716.085
0,5.48,59.15,45.44,33.77,42.18,20.43,7.86,4.25
1,6.43,93.23,62.64,62.69,86.8,30.18,5.82,709.215
0,03.05,42.95,76.65,94.18,58.61,99.6,8.97,736.435
0,5.89,48.18,56.95,58.0,72.74,61.84,8.35,62.351
1,7.25,44.94,86.18,87.81,61.89,62.72,5.15,7.161
0,5.64,90.59,81.7,62.19,93.23,86.05,7.83,82.182
0,9.91,40.64,81.44,33.01,32.46,57.19,7.67,456.845
1,6.5,91.7,98.96,36.09,81.05,29.96,7.82,69.348
1,4.34,67.08,50.67,28.5,75.65,48.02,4.41,552.465
0,7.95,40.24,75.13,39.65,75.47,77.95,08.05,63.172
0,2.53,64.1,89.88,92.02,58.98,88.52,5.31,76.886
1,4.46,51.21,70.57,73.76,31.1,34.59,6.95,52.19
1,4.12,77.46,85.27,80.41,78.25,33.58,4.58,75.648
1,4.89,80.76,59.01,71.62,88.06,39.48,6.79,7.255
1,08.04,69.25,71.33,53.99,35.97,63.66,8.53,53.644
0,5.36,42.43,33.9,41.26,60.91,35.07,4.89,461.635
1,8.15,79.37,99.0,94.42,41.38,90.38,8.28,74.863
1,6.19,90.52,86.0,63.61,72.77,98.02,6.18,7.742
0,04.08,83.22,90.82,61.08,84.99,71.12,5.61,7.861
1,8.29,89.8,78.6,99.71,76.67,97.33,4.29,8.619
0,3.14,52.03,43.02,53.79,52.26,35.91,6.64,49.136
1,03.02,93.33,32.17,89.06,39.78,83.37,5.0,60.292
1,5.54,59.33,90.53,89.68,85.6,71.06,8.7,83.525
1,3.35,40.8,57.74,42.45,52.67,33.69,5.19,48.044
0,01.08,90.6,48.47,32.11,31.55,38.66,6.93,41.69
0,6.83,96.51,69.32,98.17,70.0,53.98,6.79,779.555
1,5.6,79.33,59.46,56.94,47.27,81.25,5.68,587.295
0,05.01,53.89,75.62,25.17,88.88,88.5,8.26,6.676
0,9.7,55.1,63.87,62.43,40.03,67.06,4.92,54.608
0,6.14,68.0,78.81,71.45,60.44,74.94,08.09,6.907
0,8.77,93.87,89.74,83.21,47.72,33.75,05.04,682.145
0,2.26,48.98,43.69,95.72,78.27,76.7,4.2,726.305
0,6.12,89.56,53.06,93.64,68.4,64.45,8.72,7.336
1,8.81,57.48,60.58,95.51,85.37,30.06,7.19,74.627
1,6.25,88.52,97.34,27.41,62.1,95.52,7.15,664.595
0,7.46,95.22,55.57,78.38,30.34,56.16,5.33,56.466
1,4.35,65.65,56.68,41.94,45.06,81.5,4.7,52.307
1,1.83,61.9,75.74,39.07,99.94,57.31,7.53,718.155
1,5.12,88.13,59.34,85.02,58.37,93.96,6.59,717.615
1,4.55,71.77,96.59,56.28,73.42,22.72,5.59,68.534
0,8.8,81.07,92.61,93.75,93.35,59.15,5.58,8.865
1,3.2,77.37,65.94,28.18,31.44,12.26,8.45,40.2
1,9.7,49.17,75.13,85.16,76.17,27.77,8.45,706.695
0,9.62,90.69,34.06,35.26,50.19,35.29,5.37,457.915
0,3.23,51.75,78.7,38.24,49.55,52.53,7.97,53.70
1,4.13,95.94,79.5,60.8,45.74,83.82,5.13,65.085
1,09.06,55.03,55.14,54.67,87.59,52.0,08.04,66.055
1,9.7,84.03,45.38,61.46,56.11,60.51,4.63,585.335
1,4.99,57.08,94.06,95.5,34.7,93.16,7.79,69.856
